Sample	mRNAsi
MMRF_2843_1_BM_CD138pos_T3_TSMRU_L16379	0.529983147028142
MMRF_2459_1_BM_CD138pos_T2_TSMRU_L10611	0.458490067196166
MMRF_2194_1_BM_CD138pos_T2_TSMRU_L08186	0.59390556924299
MMRF_1312_1_BM_CD138pos_T3_TSMRU_L00124	0.581817867119113
MMRF_1867_1_BM_CD138pos_T2_TSMRU_L05326	0.499207677485833
MMRF_2054_1_BM_CD138pos_T3_TSMRU_L07190	0.566831285831106
MMRF_2519_1_BM_CD138pos_T2_TSMRU_L12685	0.489608299538309
MMRF_1643_1_BM_CD138pos_T2_TSMRU_L04229	0.591470844470583
MMRF_1425_1_BM_CD138pos_T3_TSMRU_L01332	0.454583669216382
MMRF_1107_1_BM_CD138pos_T2_TSMRU_K03097	0.686347140952171
MMRF_2203_1_BM_CD138pos_T2_TSMRU_L08183	0.405816299319927
MMRF_1977_1_BM_CD138pos_T2_TSMRU_L06650	0.641050209649788
MMRF_1281_1_BM_CD138pos_T2_TSMRU_K03699	0.502102057362869
MMRF_2458_1_BM_CD138pos_T2_TSMRU_L10617	0.645044783756022
MMRF_2507_1_BM_CD138pos_T2_TSMRU_L13872	0.609724030810709
MMRF_1171_1_BM_CD138pos_T3_TSMRU_L00122	0.476482180542369
MMRF_2305_1_BM_CD138pos_T3_TSMRU_L10274	0.410298339947034
MMRF_2453_1_BM_CD138pos_T2_TSMRU_L10609	0.559546540629418
MMRF_1355_1_BM_CD138pos_T2_TSMRU_L01871	0.491782887603701
MMRF_2080_1_BM_CD138pos_T3_TSMRU_L07650	0.423834028658869
MMRF_2306_1_BM_CD138pos_T2_TSMRU_L09802	0.398213216072746
MMRF_1690_1_BM_CD138pos_T2_TSMRU_L05986	0.542792081845467
MMRF_1212_1_BM_CD138pos_T3_TSMRU_L00039	0.511408832155607
MMRF_1950_1_BM_CD138pos_T2_TSMRU_L06626	0.681172002724049
MMRF_1593_1_BM_CD138pos_T3_TSMRU_L03464	0.582759703474428
MMRF_2201_1_BM_CD138pos_T2_TSMRU_L08182	0.577016016901033
MMRF_2516_1_BM_CD138pos_T2_TSMRU_L12432	0.570879925821531
MMRF_1842_1_BM_CD138pos_T2_TSMRU_L05331	0.487208291185098
